, open , high , low , close , volume , range , 목표가  ,매수여부, 수익률 ,
2020-08-13 9:00," 13,708,000 "," 13,890,000 "," 13,398,000 "," 13,810,000 "," 6,509 "," 492,000 ", - ,,1,
2020-08-14 9:00," 13,810,000 "," 13,939,000 "," 13,706,000 "," 13,846,000 "," 5,428 "," 233,000 "," 14,056,000 ",0,1,
2020-08-15 9:00," 13,845,000 "," 14,051,000 "," 13,796,000 "," 13,878,000 "," 3,785 "," 255,000 "," 13,961,500 ",1,0.994019267,
2020-08-16 9:00," 13,867,000 "," 13,962,000 "," 13,751,000 "," 13,889,000 "," 2,621 "," 211,000 "," 13,994,500 ",0,1,
2020-08-17 9:00," 13,889,000 "," 14,382,000 "," 13,809,000 "," 14,204,000 "," 7,069 "," 573,000 "," 13,994,500 ",1,1.014970167,
2020-08-18 9:00," 14,202,000 "," 14,339,000 "," 13,811,000 "," 14,000,000 "," 5,959 "," 528,000 "," 14,488,500 ",0,1,1.008899902
2020-08-19 9:00," 14,002,000 "," 14,084,000 "," 13,666,000 "," 13,878,000 "," 5,471 "," 418,000 "," 14,266,000 ",0,1,
2020-08-20 9:00," 13,884,000 "," 14,050,000 "," 13,750,000 "," 13,967,000 "," 3,049 "," 300,000 "," 14,093,000 ",0,1,
2020-08-21 9:00," 13,951,000 "," 14,012,000 "," 13,761,000 "," 13,781,000 "," 4,572 "," 251,000 "," 14,101,000 ",0,1,
2020-08-22 9:00," 13,781,000 "," 13,850,000 "," 13,500,000 "," 13,840,000 "," 3,326 "," 350,000 "," 13,906,500 ",0,1,
2020-08-23 9:00," 13,850,000 "," 13,856,000 "," 13,700,000 "," 13,802,000 "," 2,121 "," 156,000 "," 14,025,000 ",0,1,
2020-08-24 9:00," 13,816,000 "," 13,940,000 "," 13,745,000 "," 13,876,000 "," 3,402 "," 195,000 "," 13,894,000 ",1,0.998704477,
2020-08-25 9:00," 13,876,000 "," 13,884,000 "," 13,341,000 "," 13,476,000 "," 5,630 "," 543,000 "," 13,973,500 ",0,1,1.007592848
2020-08-26 9:00," 13,473,000 "," 13,633,000 "," 13,350,000 "," 13,561,000 "," 7,349 "," 283,000 "," 13,744,500 ",0,1,
2020-08-27 9:00," 13,561,000 "," 13,675,000 "," 13,245,000 "," 13,401,000 "," 5,462 "," 430,000 "," 13,702,500 ",0,1,
2020-08-28 9:00," 13,401,000 "," 13,550,000 "," 13,332,000 "," 13,549,000 "," 3,043 "," 218,000 "," 13,616,000 ",0,1,
2020-08-29 9:00," 13,546,000 "," 13,568,000 "," 13,416,000 "," 13,470,000 "," 2,279 "," 152,000 "," 13,655,000 ",0,1,
2020-08-30 9:00," 13,470,000 "," 13,687,000 "," 13,465,000 "," 13,671,000 "," 2,404 "," 222,000 "," 13,546,000 ",1,1.009227816,
2020-08-31 9:00," 13,671,000 "," 13,840,000 "," 13,580,000 "," 13,739,000 "," 3,166 "," 260,000 "," 13,782,000 ",1,0.996879988,
2020-09-01 9:00," 13,733,000 "," 14,097,000 "," 13,630,000 "," 13,974,000 "," 4,847 "," 467,000 "," 13,863,000 ",1,1.008006925,1.021834783
2020-09-02 9:00," 13,972,000 "," 14,010,000 "," 13,282,000 "," 13,571,000 "," 5,823 "," 728,000 "," 14,205,500 ",0,1,
2020-09-03 9:00," 13,572,000 "," 13,670,000 "," 12,265,000 "," 12,303,000 "," 7,225 "," 1,405,000 "," 13,936,000 ",0,1,
2020-09-04 9:00," 12,301,000 "," 12,773,000 "," 12,160,000 "," 12,636,000 "," 6,538 "," 613,000 "," 13,003,500 ",0,1,
2020-09-05 9:00," 12,630,000 "," 12,762,000 "," 12,120,000 "," 12,382,000 "," 4,161 "," 642,000 "," 12,936,500 ",0,1,
2020-09-06 9:00," 12,383,000 "," 12,493,000 "," 12,123,000 "," 12,353,000 "," 2,821 "," 370,000 "," 12,704,000 ",0,1,
2020-09-07 9:00," 12,353,000 "," 12,450,000 "," 11,860,000 "," 12,388,000 "," 3,423 "," 590,000 "," 12,538,000 ",0,1,
2020-09-08 9:00," 12,388,000 "," 12,448,000 "," 11,900,000 "," 12,131,000 "," 3,339 "," 548,000 "," 12,683,000 ",0,1,1.021834783
2020-09-09 9:00," 12,130,000 "," 12,290,000 "," 11,939,000 "," 12,177,000 "," 2,860 "," 351,000 "," 12,404,000 ",0,1,
2020-09-10 9:00," 12,189,000 "," 12,435,000 "," 12,050,000 "," 12,328,000 "," 4,151 "," 385,000 "," 12,364,500 ",1,0.997048,
2020-09-11 9:00," 12,328,000 "," 12,388,000 "," 12,170,000 "," 12,336,000 "," 2,587 "," 218,000 "," 12,520,500 ",0,1,
2020-09-12 9:00," 12,336,000 "," 12,455,000 "," 12,228,000 "," 12,379,000 "," 1,692 "," 227,000 "," 12,445,000 ",1,0.994696665,
2020-09-13 9:00," 12,379,000 "," 12,571,000 "," 12,147,000 "," 12,377,000 "," 2,564 "," 424,000 "," 12,492,500 ",1,0.990754453,
2020-09-14 9:00," 12,377,000 "," 12,736,000 "," 12,285,000 "," 12,659,000 "," 2,810 "," 451,000 "," 12,589,000 ",1,1.00556041,
2020-09-15 9:00," 12,657,000 "," 12,913,000 "," 12,555,000 "," 12,814,000 "," 3,677 "," 358,000 "," 12,882,500 ",1,0.994682709,1.004260031
2020-09-16 9:00," 12,801,000 "," 13,050,000 "," 12,652,000 "," 12,913,000 "," 3,856 "," 398,000 "," 12,980,000 ",1,0.994838213,
2020-09-17 9:00," 12,908,000 "," 13,050,000 "," 12,623,000 "," 12,811,000 "," 3,228 "," 427,000 "," 13,107,000 ",0,1,
2020-09-18 9:00," 12,811,000 "," 12,837,000 "," 12,672,000 "," 12,777,000 "," 2,277 "," 165,000 "," 13,024,500 ",0,1,
2020-09-19 9:00," 12,781,000 "," 13,036,000 "," 12,741,000 "," 12,940,000 "," 2,079 "," 295,000 "," 12,863,500 ",1,1.00594706,
2020-09-20 9:00," 12,928,000 "," 12,942,000 "," 12,652,000 "," 12,819,000 "," 1,791 "," 290,000 "," 13,075,500 ",0,1,
2020-09-21 9:00," 12,828,000 "," 12,828,000 "," 12,160,000 "," 12,290,000 "," 3,821 "," 668,000 "," 12,973,000 ",0,1,
2020-09-22 9:00," 12,290,000 "," 12,380,000 "," 12,090,000 "," 12,344,000 "," 2,500 "," 290,000 "," 12,624,000 ",0,1,1.00501782
2020-09-23 9:00," 12,346,000 "," 12,348,000 "," 11,913,000 "," 11,943,000 "," 2,512 "," 435,000 "," 12,491,000 ",0,1,
2020-09-24 9:00," 11,943,000 "," 12,695,000 "," 11,912,000 "," 12,500,000 "," 3,114 "," 783,000 "," 12,160,500 ",1,1.02791826,
2020-09-25 9:00," 12,495,000 "," 12,550,000 "," 12,311,000 "," 12,455,000 "," 2,896 "," 239,000 "," 12,886,500 ",0,1,
2020-09-26 9:00," 12,456,000 "," 12,550,000 "," 12,431,000 "," 12,506,000 "," 1,267 "," 119,000 "," 12,575,500 ",0,1,
2020-09-27 9:00," 12,506,000 "," 12,597,000 "," 12,320,000 "," 12,515,000 "," 1,415 "," 277,000 "," 12,565,500 ",1,0.995981059,
2020-09-28 9:00," 12,515,000 "," 12,795,000 "," 12,425,000 "," 12,468,000 "," 2,920 "," 370,000 "," 12,653,500 ",1,0.985340024,
2020-09-29 9:00," 12,468,000 "," 12,688,000 "," 12,399,000 "," 12,601,000 "," 2,479 "," 289,000 "," 12,653,000 ",1,0.995890303,1.009673716
2020-09-30 9:00," 12,603,000 "," 12,615,000 "," 12,469,000 "," 12,558,000 "," 1,314 "," 146,000 "," 12,747,500 ",0,1,
2020-10-01 9:00," 12,562,000 "," 12,678,000 "," 12,249,000 "," 12,440,000 "," 1,791 "," 429,000 "," 12,635,000 ",1,0.98456668,
2020-10-02 9:00," 12,440,000 "," 12,470,000 "," 12,205,000 "," 12,423,000 "," 2,312 "," 265,000 "," 12,654,500 ",0,1,
2020-10-03 9:00," 12,423,000 "," 12,434,000 "," 12,326,000 "," 12,393,000 ", 803 ," 108,000 "," 12,555,500 ",0,1,
2020-10-04 9:00," 12,393,000 "," 12,496,000 "," 12,348,000 "," 12,447,000 ", 870 ," 148,000 "," 12,447,000 ",1,1,
2020-10-05 9:00," 12,446,000 "," 12,545,000 "," 12,385,000 "," 12,536,000 "," 1,578 "," 160,000 "," 12,520,000 ",1,1.001277955,
2020-10-06 9:00," 12,536,000 "," 12,600,000 "," 12,330,000 "," 12,418,000 "," 1,746 "," 270,000 "," 12,616,000 ",0,1,0.995361502
2020-10-07 9:00," 12,408,000 "," 12,435,000 "," 12,337,000 "," 12,423,000 "," 1,357 "," 98,000 "," 12,543,000 ",0,1,
2020-10-08 9:00," 12,422,000 "," 12,680,000 "," 12,280,000 "," 12,582,000 "," 2,422 "," 400,000 "," 12,471,000 ",1,1.00890065,
2020-10-09 9:00," 12,582,000 "," 12,750,000 "," 12,503,000 "," 12,638,000 "," 2,246 "," 247,000 "," 12,782,000 ",0,1,
2020-10-10 9:00," 12,637,000 "," 13,007,000 "," 12,628,000 "," 12,864,000 "," 2,417 "," 379,000 "," 12,760,500 ",1,1.008110967,
2020-10-11 9:00," 12,858,000 "," 12,994,000 "," 12,817,000 "," 12,934,000 "," 1,338 "," 177,000 "," 13,047,500 ",0,1,
2020-10-12 9:00," 12,934,000 "," 13,330,000 "," 12,855,000 "," 13,172,000 "," 2,797 "," 475,000 "," 13,022,500 ",1,1.011480131,
2020-10-13 9:00," 13,176,000 "," 13,217,000 "," 12,999,000 "," 13,134,000 "," 2,608 "," 218,000 "," 13,413,500 ",0,1,1.023988163
2020-10-14 9:00," 13,134,000 "," 13,278,000 "," 13,040,000 "," 13,150,000 "," 2,472 "," 238,000 "," 13,243,000 ",1,0.992977422,
2020-10-15 9:00," 13,150,000 "," 13,300,000 "," 12,993,000 "," 13,226,000 "," 2,394 "," 307,000 "," 13,269,000 ",1,0.996759364,
2020-10-16 9:00," 13,230,000 "," 13,275,000 "," 12,893,000 "," 13,054,000 "," 3,131 "," 382,000 "," 13,383,500 ",0,1,
2020-10-17 9:00," 13,054,000 "," 13,097,000 "," 12,970,000 "," 13,078,000 "," 1,046 "," 127,000 "," 13,245,000 ",0,1,
2020-10-18 9:00," 13,078,000 "," 13,208,000 "," 13,050,000 "," 13,207,000 "," 1,089 "," 158,000 "," 13,141,500 ",1,1.00498421,
2020-10-19 9:00," 13,207,000 "," 13,480,000 "," 13,095,000 "," 13,415,000 "," 2,364 "," 385,000 "," 13,286,000 ",1,1.009709469,
2020-10-20 9:00," 13,420,000 "," 13,746,000 "," 13,339,000 "," 13,646,000 "," 3,296 "," 407,000 "," 13,612,500 ",1,1.002460973,1.030974149
2020-10-21 9:00," 13,645,000 "," 14,812,000 "," 13,615,000 "," 14,423,000 "," 6,404 "," 1,197,000 "," 13,848,500 ",1,1.041484637,
2020-10-22 9:00," 14,420,000 "," 14,769,000 "," 14,320,000 "," 14,558,000 "," 4,263 "," 449,000 "," 15,018,500 ",0,1,
2020-10-23 9:00," 14,558,000 "," 14,623,000 "," 14,340,000 "," 14,584,000 "," 2,925 "," 283,000 "," 14,782,500 ",0,1,
2020-10-24 9:00," 14,579,000 "," 14,800,000 "," 14,514,000 "," 14,760,000 "," 1,868 "," 286,000 "," 14,720,500 ",1,1.002683333,
2020-10-25 9:00," 14,760,000 "," 15,000,000 "," 14,556,000 "," 14,690,000 "," 2,314 "," 444,000 "," 14,903,000 ",1,0.985707576,
2020-10-26 9:00," 14,687,000 "," 14,920,000 "," 14,358,000 "," 14,764,000 "," 3,032 "," 562,000 "," 14,909,000 ",1,0.990274331,
2020-10-27 9:00," 14,772,000 "," 15,457,000 "," 14,683,000 "," 15,312,000 "," 3,964 "," 774,000 "," 15,053,000 ",1,1.017205873,1.068998055
2020-10-28 9:00," 15,300,000 "," 15,557,000 "," 14,635,000 "," 15,060,000 "," 5,753 "," 922,000 "," 15,687,000 ",0,1,
2020-10-29 9:00," 15,060,000 "," 15,379,000 "," 14,703,000 "," 15,207,000 "," 3,517 "," 676,000 "," 15,521,000 ",0,1,1.068998055
2020-10-30 9:00," 15,207,000 "," 15,460,000 "," 14,899,000 "," 15,340,000 "," 3,753 "," 561,000 "," 15,545,000 ",0,1,1.068998055
2020-10-31 9:00," 15,340,000 "," 15,800,000 "," 15,205,000 "," 15,606,000 "," 4,066 "," 595,000 "," 15,620,500 ",1,0.999071733,1.068005739
2020-11-01 9:00," 15,606,000 "," 15,710,000 "," 15,461,000 "," 15,574,000 "," 1,807 "," 249,000 "," 15,903,500 ",0,1,1.068005739
2020-11-02 9:00," 15,574,000 "," 15,641,000 "," 15,011,000 "," 15,397,000 "," 3,644 "," 630,000 "," 15,698,500 ",0,1,1.068005739
2020-11-03 9:00," 15,396,000 "," 15,900,000 "," 15,150,000 "," 15,881,000 "," 3,888 "," 750,000 "," 15,711,000 ",1,1.010820444,1.079562035
2020-11-04 9:00," 15,881,000 "," 16,020,000 "," 15,431,000 "," 15,959,000 "," 4,674 "," 589,000 "," 16,256,000 ",0,1,1.079562035
2020-11-05 9:00," 15,959,000 "," 17,540,000 "," 15,900,000 "," 17,352,000 "," 9,583 "," 1,640,000 "," 16,253,500 ",1,1.067585443,1.152524714
2020-11-06 9:00," 17,352,000 "," 17,789,000 "," 17,060,000 "," 17,397,000 "," 7,787 "," 729,000 "," 18,172,000 ",0,1,1.152524714
2020-11-07 9:00," 17,397,000 "," 17,613,000 "," 16,252,000 "," 16,647,000 "," 5,132 "," 1,361,000 "," 17,761,500 ",0,1,1.152524714
2020-11-08 9:00," 16,650,000 "," 17,388,000 "," 16,520,000 "," 17,297,000 "," 3,403 "," 868,000 "," 17,330,500 ",1,0.998066992,1.150296874
2020-11-09 9:00," 17,276,000 "," 17,550,000 "," 16,695,000 "," 17,106,000 "," 5,112 "," 855,000 "," 17,710,000 ",0,1,1.150296874
2020-11-10 9:00," 17,106,000 "," 17,190,000 "," 16,872,000 "," 17,035,000 "," 2,656 "," 318,000 "," 17,533,500 ",0,1,1.150296874
2020-11-11 9:00," 17,035,000 "," 17,600,000 "," 17,009,000 "," 17,439,000 "," 3,969 "," 591,000 "," 17,194,000 ",1,1.014249157,1.166687634
2020-11-12 9:00," 17,439,000 "," 17,979,000 "," 17,200,000 "," 17,954,000 "," 5,385 "," 779,000 "," 17,734,500 ",1,1.012377005,1.181127733
2020-11-13 9:00," 17,952,000 "," 18,225,000 "," 17,640,000 "," 17,988,000 "," 4,396 "," 585,000 "," 18,341,500 ",0,1,1.181127733
2020-11-14 9:00," 17,988,000 "," 18,000,000 "," 17,455,000 "," 17,796,000 "," 2,787 "," 545,000 "," 18,280,500 ",0,1,
2020-11-15 9:00," 17,796,000 "," 17,831,000 "," 17,545,000 "," 17,670,000 "," 1,843 "," 286,000 "," 18,068,500 ",0,1,
2020-11-16 9:00," 17,670,000 "," 18,450,000 "," 17,555,000 "," 18,275,000 "," 4,191 "," 895,000 "," 17,813,000 ",1,1.025936114,
2020-11-17 9:00," 18,275,000 "," 19,417,000 "," 18,207,000 "," 19,332,000 "," 6,076 "," 1,210,000 "," 18,722,500 ",1,1.032554413,
2020-11-18 9:00," 19,344,000 "," 20,280,000 "," 18,865,000 "," 19,714,000 "," 11,454 "," 1,415,000 "," 19,949,000 ",1,0.988219961,
2020-11-19 9:00," 19,714,000 "," 20,080,000 "," 19,385,000 "," 19,802,000 "," 5,978 "," 695,000 "," 20,421,500 ",0,1,
